,index,sch_id,sch_link,reltype,useAtSch,wd_id,wd_link,wd_label,wd_stability,Endorse,Disagree,Doubt,comments,EndorsedAction,Unnamed: 13
182,288,Muscle,LINK,equivClass,,Q7365,LINK,muscle,,diegomoussallem,,,,,
183,289,Museum,LINK,equivClass,,Q33506,LINK,museum,,diegomoussallem,,,,,
184,290,MusicAlbum,LINK,equivClass,,Q482994,LINK,album,,diegomoussallem,,,,,
185,292,MusicComposition,LINK,equivClass,,Q207628,LINK,musical composition,,diegomoussallem,,,,,
186,293,MusicGroup,LINK,equivClass,,Q215380,LINK,band,,diegomoussallem,,,,,
187,294,MusicPlaylist,LINK,equivClass,,Q1569406,LINK,playlist,,diegomoussallem,,,,,
188,295,MusicRelease,LINK,equivClass,,Q2031291,LINK,release,,diegomoussallem,,,,,
189,296,MusicVenue,LINK,equivClass,,Q8719053,LINK,music venue,,diegomoussallem,,,,,
190,297,NailSalon,LINK,equivClass,,Q8007048,LINK,Nail salon,,diegomoussallem,,,,,
191,302,Nerve,LINK,equivClass,,Q9620,LINK,nerve,,diegomoussallem,,,,,
192,303,NewsArticle,LINK,equivClass,,Q5707594,LINK,news article,,diegomoussallem,,,,,
193,304,Newspaper,LINK,equivClass,,Q11032,LINK,newspaper,,diegomoussallem,,,,,
194,305,NGO,LINK,equivClass,,Q79913,LINK,non-governmental organization,,diegomoussallem,,,,,
195,306,NightClub,LINK,equivClass,,Q622425,LINK,nightclub,,diegomoussallem,,,,,
196,307,Notary,LINK,equivClass,,Q189010,LINK,notary,,,diegomoussallem,,Schema considers only persons,,
197,308,Number,LINK,equivClass,,Q11563,LINK,number,,diegomoussallem,,,,,
198,313,Nursing,LINK,equivClass,,Q121176,LINK,nursing,,diegomoussallem,,,,,
199,314,NutritionInformation,LINK,equivClass,,Q2006410,LINK,nutrition information,,diegomoussallem,,,,,
200,316,Obstetric,LINK,equivClass,,Q5284418,LINK,obstetrics,,diegomoussallem,,,,,
201,317,OccupationalTherapy,LINK,equivClass,,Q380141,LINK,occupational therapy,,diegomoussallem,,,,,
202,318,OceanBodyOfWater,LINK,equivClass,,Q9430,LINK,ocean,,diegomoussallem,,,,,
203,319,Oncologic,LINK,equivClass,,Q162555,LINK,oncology,,diegomoussallem,,,,,
204,321,Optician,LINK,equivClass,,Q1996635,LINK,optician,,diegomoussallem,,,,,
205,322,Optometric,LINK,equivClass,,Q618211,LINK,optometry,,diegomoussallem,,,,,
206,323,Organization,LINK,equivClass,,Q43229,LINK,organization,,diegomoussallem,,,,,
207,324,OutletStore,LINK,equivClass,,Q76470,LINK,outlet store,,diegomoussallem,,,,,
208,327,Painting,LINK,equivClass,,Q3305213,LINK,painting,,diegomoussallem,,,,,
209,328,PalliativeProcedure,LINK,equivClass,,Q27165812,LINK,palliative procedure,,diegomoussallem,,,,,
210,332,Park,LINK,equivClass,,Q22698,LINK,park,,diegomoussallem,,,,,
211,333,ParkingFacility,LINK,equivClass,,Q55697304,LINK,parking facility,,diegomoussallem,,,,,
212,336,Patient,LINK,equivClass,,Q181600,LINK,patient,,diegomoussallem,,,,,
214,338,PaymentCard,LINK,equivClass,,Q1436963,LINK,payment card,,,diegomoussallem,,WD refers to a device,,
215,339,PaymentMethod,LINK,equivClass,,Q1912682,LINK,payment method,,diegomoussallem,,,,,
216,340,PerformingArtsTheater,LINK,equivClass,,Q24354,LINK,theater,,diegomoussallem,,,,,
217,341,Periodical,LINK,equivClass,,Q41298,LINK,magazine,,diegomoussallem,,,,,
218,342,Permit,LINK,equivClass,,Q79719,LINK,license,,diegomoussallem,,,,,
221,345,PetStore,LINK,equivClass,,Q220142,LINK,pet store,,diegomoussallem,,,,,
222,346,Pharmacy,LINK,equivClass,,Q13107184,LINK,community pharmacy,,,diegomoussallem,,WD should be a subproperty,,
223,347,Photograph,LINK,equivClass,,Q125191,LINK,photograph,,diegomoussallem,,,,,
224,348,PhysicalExam,LINK,equivClass,,Q835153,LINK,medical examination,,diegomoussallem,,,,,
225,349,PhysicalTherapy,LINK,equivClass,,Q186005,LINK,physiotherapy,,diegomoussallem,,,,,
226,350,Physician,LINK,equivClass,,Q39631,LINK,physician,,,diegomoussallem,,WD refers to person while Schema to organizations,,
227,352,Physiotherapy,LINK,equivClass,,Q186005,LINK,physiotherapy,,diegomoussallem,,,,,
228,353,Place,LINK,equivClass,,Q2221906,LINK,geographical point,,diegomoussallem,,,,,
229,354,PlaceOfWorship,LINK,equivClass,,Q1370598,LINK,place of worship,,diegomoussallem,,,,,
230,355,PlasticSurgery,LINK,equivClass,,Q182442,LINK,plastic surgery,,diegomoussallem,,,,,
231,356,Playground,LINK,equivClass,,Q13607440,LINK,playground,,diegomoussallem,,,,,
232,357,Plumber,LINK,equivClass,,Q252924,LINK,plumber,,,diegomoussallem,,WD refers to a profession while Schema place or organisation,,
233,358,Podiatric,LINK,equivClass,,Q18011356,LINK,podiatry,,diegomoussallem,,,,,
234,359,PoliceStation,LINK,equivClass,,Q861951,LINK,police station,,diegomoussallem,,,,,
235,360,Pond,LINK,equivClass,,Q3253281,LINK,pond,,diegomoussallem,,,,,
236,362,PostalAddress,LINK,equivClass,,Q319608,LINK,address,,,diegomoussallem,,WD could be a subproperty,,
237,363,PostOffice,LINK,equivClass,,Q35054,LINK,post office,,diegomoussallem,,,,,
238,364,Preschool,LINK,equivClass,,Q1076052,LINK,preschool,,diegomoussallem,,,,,
239,365,PrimaryCare,LINK,equivClass,,Q3259956,LINK,primary care,,diegomoussallem,,,,,
240,367,Product,LINK,equivClass,,Q2424752,LINK,product,,diegomoussallem,,,,,
241,368,ProductModel,LINK,equivClass,,Q10929058,LINK,model,,,diegomoussallem,,it is not equivalent,,
242,369,ProfessionalService,LINK,equivClass,,Q2029911,LINK,professional services,,diegomoussallem,,,,,
243,372,Psychiatric,LINK,equivClass,,Q7867,LINK,psychiatry,,sandroacoelho,,,,,
244,373,PsychologicalTreatment,LINK,equivClass,,Q27166103,LINK,psychological treatment,,sandroacoelho,,,,,
245,374,PublicationVolume,LINK,equivClass,,Q19816504,LINK,volume,,sandroacoelho,,,,,
246,375,PublicHealth,LINK,equivClass,,Q189603,LINK,public health,,sandroacoelho,,,,,
247,376,PublicSwimmingPool,LINK,equivClass,,Q27106886,LINK,public swimming pool,,sandroacoelho,,,,,
248,377,PublicToilet,LINK,equivClass,,Q813966,LINK,public toilet,,sandroacoelho,,,,,
249,379,Quantity,LINK,equivClass,,Q614112,LINK,value,,sandroacoelho,,,,,
250,380,Question,LINK,equivClass,,Q189756,LINK,question,,sandroacoelho,,,,,
251,382,Quotation,LINK,equivClass,,Q206287,LINK,quotation,,sandroacoelho,,,,,
252,383,RadiationTherapy,LINK,equivClass,,Q180507,LINK,radiation therapy,,sandroacoelho,,,,,
253,384,RadioSeries,LINK,equivClass,,Q14623351,LINK,radio series,,sandroacoelho,,,,,
254,385,RadioStation,LINK,equivClass,,Q14350,LINK,radio station,,sandroacoelho,,,,,
255,386,RealEstateAgent,LINK,equivClass,,Q519076,LINK,real estate broker,,,sandroacoelho,,,,
256,387,Recipe,LINK,equivClass,,Q219239,LINK,recipe,,sandroacoelho,,,,,
257,390,RecyclingCenter,LINK,equivClass,,Q27106436,LINK,recycling center,,sandroacoelho,,,,,
258,391,Report,LINK,equivClass,,Q10870555,LINK,report,,sandroacoelho,,,,,
259,392,Residence,LINK,equivClass,,Q699405,LINK,residence,,sandroacoelho,,,,,
260,393,Resort,LINK,equivClass,,Q875157,LINK,resort,,sandroacoelho,,,,,
261,394,RespiratoryTherapy,LINK,equivClass,,Q19776279,LINK,respiratory therapy,,sandroacoelho,,,,,
262,395,Restaurant,LINK,equivClass,,Q11707,LINK,restaurant,,sandroacoelho,,,,,
263,397,Review,LINK,equivClass,,Q265158,LINK,review,,sandroacoelho,,,,,
264,400,RiverBodyOfWater,LINK,equivClass,,Q4022,LINK,river,,sandroacoelho,,,,,
267,404,RoofingContractor,LINK,equivClass,,Q27057193,LINK,Roofing contractor,,sandroacoelho,,,,,
268,405,Room,LINK,equivClass,,Q180516,LINK,room,,sandroacoelho,,,,,
269,406,RVPark,LINK,equivClass,,Q1424620,LINK,RV park,,sandroacoelho,,,,,
270,409,ScholarlyArticle,LINK,equivClass,,Q13442814,LINK,scientific article,,,sandroacoelho,,,,
271,411,School,LINK,equivClass,,Q3914,LINK,school,,sandroacoelho,,,,,
272,413,Sculpture,LINK,equivClass,,Q860861,LINK,sculpture,,,,sandroacoelho,,,
273,414,SeaBodyOfWater,LINK,equivClass,,Q165,LINK,sea,,sandroacoelho,,,,,
275,420,SelfStorage,LINK,equivClass,,Q401404,LINK,Self storage,,sandroacoelho,,,,,
276,421,Series,LINK,equivClass,,Q20937557,LINK,series,,,sandroacoelho,,,,
277,422,Service,LINK,equivClass,,Q7406919,LINK,service,,sandroacoelho,,,,,
278,423,ShoeStore,LINK,equivClass,,Q7500021,LINK,Shoe store,,sandroacoelho,,,,,
279,424,ShoppingCenter,LINK,equivClass,,Q11315,LINK,shopping mall,,sandroacoelho,,,,,
280,425,SingleRelease,LINK,equivClass,,Q134556,LINK,single,,,sandroacoelho,,,,
281,426,SkiResort,LINK,equivClass,,Q130003,LINK,ski resort,,sandroacoelho,,,,,
282,427,SoftwareApplication,LINK,equivClass,,Q166142,LINK,application,,sandroacoelho,,,,,
283,428,SoftwareSourceCode,LINK,equivClass,,Q128751,LINK,source code,,sandroacoelho,,,,,
